"","Common_Name","Year","Area","AreaYear","Transect","Count"
"370","Logperch","2022","Piers 5-7","Piers 5-7-2022","HH51",7
"371","Logperch","2022","Piers 5-7","Piers 5-7-2022","HH53",24
"372","Logperch","2022","Piers 5-7","Piers 5-7-2022","HH54",7
"373","Logperch","2023","Construction Site","Construction Site-2023","HH52",18
"374","Logperch","2023","Macassa Bay","Macassa Bay-2023","HH55",1
"375","Logperch","2023","Macassa Bay","Macassa Bay-2023","HH56",3
"376","Logperch","2023","Macassa Bay","Macassa Bay-2023","HH59",2
"377","Logperch","2023","Macassa Bay","Macassa Bay-2023","HH60",15
"378","Logperch","2023","Piers 5-7","Piers 5-7-2023","HH50",4
"379","Logperch","2023","Piers 5-7","Piers 5-7-2023","HH51",16
"380","Logperch","2023","Piers 5-7","Piers 5-7-2023","HH54",4
"381","Northern pike","2019","Piers 5-7","Piers 5-7-2019","HH53",1
"382","Northern pike","2020","Construction Site","Construction Site-2020","HH52",1
"383","Northern pike","2021","Macassa Bay","Macassa Bay-2021","HH60",1
"384","Pumpkinseed","2018","Macassa Bay","Macassa Bay-2018","HH60",1
"385","Pumpkinseed","2018","Piers 5-7","Piers 5-7-2018","HH51",2
"386","Pumpkinseed","2019","Macassa Bay","Macassa Bay-2019","HH55",2
"387","Pumpkinseed","2019","Macassa Bay","Macassa Bay-2019","HH56",1
"388","Pumpkinseed","2019","Macassa Bay","Macassa Bay-2019","HH57",1
"389","Pumpkinseed","2019","Macassa Bay","Macassa Bay-2019","HH60",2
"390","Pumpkinseed","2019","Piers 5-7","Piers 5-7-2019","HH50",12
"391","Pumpkinseed","2019","Piers 5-7","Piers 5-7-2019","HH51",2
"392","Pumpkinseed","2019","Piers 5-7","Piers 5-7-2019","HH53",1
"393","Pumpkinseed","2020","Macassa Bay","Macassa Bay-2020","HH55",1
"394","Pumpkinseed","2020","Macassa Bay","Macassa Bay-2020","HH59",3
"395","Pumpkinseed","2020","Macassa Bay","Macassa Bay-2020","HH60",1
"396","Pumpkinseed","2020","Piers 5-7","Piers 5-7-2020","HH50",5
"397","Pumpkinseed","2020","Piers 5-7","Piers 5-7-2020","HH51",2
"398","Pumpkinseed","2021","Macassa Bay","Macassa Bay-2021","HH55",1
"399","Pumpkinseed","2021","Macassa Bay","Macassa Bay-2021","HH56",1
"400","Pumpkinseed","2021","Macassa Bay","Macassa Bay-2021","HH59",1
"401","Pumpkinseed","2021","Macassa Bay","Macassa Bay-2021","HH60",6
"402","Pumpkinseed","2021","Piers 5-7","Piers 5-7-2021","HH50",1
"403","Pumpkinseed","2022","Macassa Bay","Macassa Bay-2022","HH55",1
"404","Pumpkinseed","2022","Macassa Bay","Macassa Bay-2022","HH58",2
"405","Pumpkinseed","2022","Piers 5-7","Piers 5-7-2022","HH50",4
"406","Pumpkinseed","2023","Construction Site","Construction Site-2023","HH52",2
"407","Pumpkinseed","2023","Macassa Bay","Macassa Bay-2023","HH55",7
"408","Pumpkinseed","2023","Macassa Bay","Macassa Bay-2023","HH56",6
"409","Pumpkinseed","2023","Macassa Bay","Macassa Bay-2023","HH58",6
"410","Pumpkinseed","2023","Macassa Bay","Macassa Bay-2023","HH59",3
"411","Pumpkinseed","2023","Macassa Bay","Macassa Bay-2023","HH60",11
"412","Pumpkinseed","2023","Piers 5-7","Piers 5-7-2023","HH50",5
"413","Pumpkinseed","2023","Piers 5-7","Piers 5-7-2023","HH51",5
"414","Rock bass","2018","Construction Site","Construction Site-2018","HH52",1
"415","Rock bass","2018","Macassa Bay","Macassa Bay-2018","HH59",3
"416","Rock bass","2018","Macassa Bay","Macassa Bay-2018","HH60",1
"417","Rock bass","2018","Piers 5-7","Piers 5-7-2018","HH50",7
"418","Rock bass","2018","Piers 5-7","Piers 5-7-2018","HH51",4
"419","Rock bass","2018","Piers 5-7","Piers 5-7-2018","HH53",1
"420","Rock bass","2019","Construction Site","Construction Site-2019","HH52",2
"421","Rock bass","2019","Macassa Bay","Macassa Bay-2019","HH55",2
"422","Rock bass","2019","Macassa Bay","Macassa Bay-2019","HH60",2
"423","Rock bass","2019","Piers 5-7","Piers 5-7-2019","HH50",13
"424","Rock bass","2019","Piers 5-7","Piers 5-7-2019","HH51",13
"425","Rock bass","2019","Piers 5-7","Piers 5-7-2019","HH53",4
"426","Rock bass","2020","Construction Site","Construction Site-2020","HH52",2
"427","Rock bass","2020","Macassa Bay","Macassa Bay-2020","HH55",2
"428","Rock bass","2020","Macassa Bay","Macassa Bay-2020","HH59",1
"429","Rock bass","2020","Macassa Bay","Macassa Bay-2020","HH60",3
"430","Rock bass","2020","Piers 5-7","Piers 5-7-2020","HH50",16
"431","Rock bass","2020","Piers 5-7","Piers 5-7-2020","HH51",16
"432","Rock bass","2020","Piers 5-7","Piers 5-7-2020","HH53",2
"433","Rock bass","2021","Macassa Bay","Macassa Bay-2021","HH59",4
"434","Rock bass","2021","Piers 5-7","Piers 5-7-2021","HH50",4
"435","Rock bass","2021","Piers 5-7","Piers 5-7-2021","HH51",2
"436","Rock bass","2022","Construction Site","Construction Site-2022","HH52",3
"437","Rock bass","2022","Macassa Bay","Macassa Bay-2022","HH55",2
"438","Rock bass","2022","Piers 5-7","Piers 5-7-2022","HH50",16
"439","Rock bass","2022","Piers 5-7","Piers 5-7-2022","HH51",4
"440","Rock bass","2022","Piers 5-7","Piers 5-7-2022","HH53",4
"441","Rock bass","2022","Piers 5-7","Piers 5-7-2022","HH54",1
"442","Rock bass","2023","Construction Site","Construction Site-2023","HH52",2
"443","Rock bass","2023","Macassa Bay","Macassa Bay-2023","HH55",2
"444","Rock bass","2023","Macassa Bay","Macassa Bay-2023","HH59",7
"445","Rock bass","2023","Macassa Bay","Macassa Bay-2023","HH60",1
"446","Rock bass","2023","Piers 5-7","Piers 5-7-2023","HH50",14
"447","Rock bass","2023","Piers 5-7","Piers 5-7-2023","HH51",17
"448","Rock bass","2023","Piers 5-7","Piers 5-7-2023","HH53",1
"449","Rock bass","2023","Piers 5-7","Piers 5-7-2023","HH54",2
"450","Round Goby","2018","Piers 5-7","Piers 5-7-2018","HH50",1
"451","Round Goby","2020","Piers 5-7","Piers 5-7-2020","HH50",1
"452","Round Goby","2023","Piers 5-7","Piers 5-7-2023","HH54",2
"453","Rudd","2018","Macassa Bay","Macassa Bay-2018","HH57",1
"454","Rudd","2018","Macassa Bay","Macassa Bay-2018","HH59",4
"455","Rudd","2018","Macassa Bay","Macassa Bay-2018","HH60",1
"456","Rudd","2019","Macassa Bay","Macassa Bay-2019","HH55",2
"457","Rudd","2019","Macassa Bay","Macassa Bay-2019","HH59",1
"458","Rudd","2020","Macassa Bay","Macassa Bay-2020","HH58",1
"459","Rudd","2020","Macassa Bay","Macassa Bay-2020","HH60",3
"460","Rudd","2020","Piers 5-7","Piers 5-7-2020","HH51",1
"461","Rudd","2021","Macassa Bay","Macassa Bay-2021","HH58",1
"462","Rudd","2021","Macassa Bay","Macassa Bay-2021","HH59",4
"463","Rudd","2021","Macassa Bay","Macassa Bay-2021","HH60",3
"464","Rudd","2021","Piers 5-7","Piers 5-7-2021","HH51",4
"465","Rudd","2022","Macassa Bay","Macassa Bay-2022","HH55",11
"466","Rudd","2022","Macassa Bay","Macassa Bay-2022","HH56",4
"467","Rudd","2022","Macassa Bay","Macassa Bay-2022","HH57",2
"468","Rudd","2022","Piers 5-7","Piers 5-7-2022","HH51",2
"469","Rudd","2022","Piers 5-7","Piers 5-7-2022","HH53",1
"470","Rudd","2023","Construction Site","Construction Site-2023","HH52",1
"471","Rudd","2023","Macassa Bay","Macassa Bay-2023","HH55",6
"472","Rudd","2023","Macassa Bay","Macassa Bay-2023","HH56",10
"473","Rudd","2023","Macassa Bay","Macassa Bay-2023","HH58",1
"474","Rudd","2023","Macassa Bay","Macassa Bay-2023","HH59",2
"475","Rudd","2023","Macassa Bay","Macassa Bay-2023","HH60",14
"476","Rudd","2023","Piers 5-7","Piers 5-7-2023","HH50",1
"477","Rudd","2023","Piers 5-7","Piers 5-7-2023","HH51",1
"478","Shorthead redhorse","2020","Construction Site","Construction Site-2020","HH52",1
"479","Smallmouth bass","2018","Piers 5-7","Piers 5-7-2018","HH51",1
"480","Smallmouth bass","2019","Construction Site","Construction Site-2019","HH52",2
"481","Smallmouth bass","2023","Piers 5-7","Piers 5-7-2023","HH50",2
"482","Smallmouth bass","2023","Piers 5-7","Piers 5-7-2023","HH54",1
"483","Spottail shiner","2018","Macassa Bay","Macassa Bay-2018","HH56",6
"484","Spottail shiner","2018","Macassa Bay","Macassa Bay-2018","HH57",17
"485","Spottail shiner","2018","Macassa Bay","Macassa Bay-2018","HH58",5
"486","Spottail shiner","2018","Macassa Bay","Macassa Bay-2018","HH59",2
"487","Spottail shiner","2018","Macassa Bay","Macassa Bay-2018","HH60",10
"488","Spottail shiner","2018","Piers 5-7","Piers 5-7-2018","HH50",1
"489","Spottail shiner","2018","Piers 5-7","Piers 5-7-2018","HH51",3
"490","Spottail shiner","2019","Construction Site","Construction Site-2019","HH52",1
"491","Spottail shiner","2019","Macassa Bay","Macassa Bay-2019","HH58",23
"492","Spottail shiner","2019","Macassa Bay","Macassa Bay-2019","HH60",11
"493","Spottail shiner","2019","Piers 5-7","Piers 5-7-2019","HH51",1
"494","Spottail shiner","2020","Macassa Bay","Macassa Bay-2020","HH55",1
"495","Spottail shiner","2020","Macassa Bay","Macassa Bay-2020","HH60",6
"496","Spottail shiner","2020","Piers 5-7","Piers 5-7-2020","HH51",1
"497","Spottail shiner","2020","Piers 5-7","Piers 5-7-2020","HH54",1
"498","Spottail shiner","2021","Macassa Bay","Macassa Bay-2021","HH56",1
"499","Spottail shiner","2021","Macassa Bay","Macassa Bay-2021","HH59",1
"500","Spottail shiner","2021","Piers 5-7","Piers 5-7-2021","HH51",1
"501","Spottail shiner","2022","Macassa Bay","Macassa Bay-2022","HH55",8
"502","Spottail shiner","2023","Macassa Bay","Macassa Bay-2023","HH60",8
"503","Spottail shiner","2023","Piers 5-7","Piers 5-7-2023","HH50",1
"504","Spottail shiner","2023","Piers 5-7","Piers 5-7-2023","HH54",1
"505","Walleye(yellow pickerel)","2018","Macassa Bay","Macassa Bay-2018","HH60",1
"506","Walleye(yellow pickerel)","2019","Piers 5-7","Piers 5-7-2019","HH54",1
"507","Walleye(yellow pickerel)","2020","Macassa Bay","Macassa Bay-2020","HH55",1
"508","Walleye(yellow pickerel)","2020","Macassa Bay","Macassa Bay-2020","HH56",1
"509","Walleye(yellow pickerel)","2020","Macassa Bay","Macassa Bay-2020","HH60",1
"510","Walleye(yellow pickerel)","2020","Piers 5-7","Piers 5-7-2020","HH50",1
"511","Walleye(yellow pickerel)","2021","Construction Site","Construction Site-2021","HH52",1
"512","Walleye(yellow pickerel)","2021","Piers 5-7","Piers 5-7-2021","HH50",1
"513","Walleye(yellow pickerel)","2021","Piers 5-7","Piers 5-7-2021","HH51",1
"514","Walleye(yellow pickerel)","2022","Macassa Bay","Macassa Bay-2022","HH57",1
"515","Walleye(yellow pickerel)","2022","Piers 5-7","Piers 5-7-2022","HH51",1
"516","Walleye(yellow pickerel)","2022","Piers 5-7","Piers 5-7-2022","HH53",1
"517","Walleye(yellow pickerel)","2023","Construction Site","Construction Site-2023","HH52",1
"518","Walleye(yellow pickerel)","2023","Piers 5-7","Piers 5-7-2023","HH50",1
"519","Walleye(yellow pickerel)","2023","Piers 5-7","Piers 5-7-2023","HH54",2
"520","White perch","2018","Construction Site","Construction Site-2018","HH52",2
"521","White perch","2018","Macassa Bay","Macassa Bay-2018","HH56",2
"522","White perch","2018","Macassa Bay","Macassa Bay-2018","HH59",5
"523","White perch","2018","Piers 5-7","Piers 5-7-2018","HH50",4
"524","White perch","2018","Piers 5-7","Piers 5-7-2018","HH51",5
"525","White perch","2018","Piers 5-7","Piers 5-7-2018","HH53",4
"526","White perch","2019","Construction Site","Construction Site-2019","HH52",5
"527","White perch","2019","Macassa Bay","Macassa Bay-2019","HH58",1
"528","White perch","2019","Macassa Bay","Macassa Bay-2019","HH60",1
"529","White perch","2019","Piers 5-7","Piers 5-7-2019","HH50",1
"530","White perch","2019","Piers 5-7","Piers 5-7-2019","HH51",2
"531","White perch","2019","Piers 5-7","Piers 5-7-2019","HH53",10
"532","White perch","2020","Construction Site","Construction Site-2020","HH52",1
"533","White perch","2020","Macassa Bay","Macassa Bay-2020","HH55",2
"534","White perch","2020","Macassa Bay","Macassa Bay-2020","HH59",1
"535","White perch","2020","Piers 5-7","Piers 5-7-2020","HH50",1
"536","White perch","2020","Piers 5-7","Piers 5-7-2020","HH53",3
"537","White perch","2020","Piers 5-7","Piers 5-7-2020","HH54",1
"538","White perch","2021","Macassa Bay","Macassa Bay-2021","HH58",2
"539","White perch","2021","Macassa Bay","Macassa Bay-2021","HH59",1
"540","White perch","2021","Macassa Bay","Macassa Bay-2021","HH60",1
"541","White perch","2021","Piers 5-7","Piers 5-7-2021","HH53",2
"542","White perch","2022","Macassa Bay","Macassa Bay-2022","HH55",7
"543","White perch","2022","Macassa Bay","Macassa Bay-2022","HH56",7
"544","White perch","2022","Macassa Bay","Macassa Bay-2022","HH57",8
"545","White perch","2022","Macassa Bay","Macassa Bay-2022","HH58",3
"546","White perch","2022","Piers 5-7","Piers 5-7-2022","HH53",2
"547","White perch","2022","Piers 5-7","Piers 5-7-2022","HH54",1
"548","White perch","2023","Construction Site","Construction Site-2023","HH52",9
"549","White perch","2023","Macassa Bay","Macassa Bay-2023","HH55",1
"550","White perch","2023","Macassa Bay","Macassa Bay-2023","HH56",2
"551","White perch","2023","Macassa Bay","Macassa Bay-2023","HH59",3
"552","White perch","2023","Macassa Bay","Macassa Bay-2023","HH60",4
"553","White perch","2023","Piers 5-7","Piers 5-7-2023","HH50",2
"554","White perch","2023","Piers 5-7","Piers 5-7-2023","HH51",1
"555","White perch","2023","Piers 5-7","Piers 5-7-2023","HH53",5
"556","White sucker","2018","Macassa Bay","Macassa Bay-2018","HH55",1
"557","White sucker","2018","Macassa Bay","Macassa Bay-2018","HH59",2
"558","White sucker","2018","Macassa Bay","Macassa Bay-2018","HH60",3
"559","White sucker","2019","Construction Site","Construction Site-2019","HH52",1
"560","White sucker","2019","Macassa Bay","Macassa Bay-2019","HH55",2
"561","White sucker","2019","Macassa Bay","Macassa Bay-2019","HH59",1
"562","White sucker","2019","Macassa Bay","Macassa Bay-2019","HH60",5
"563","White sucker","2019","Piers 5-7","Piers 5-7-2019","HH50",2
"564","White sucker","2019","Piers 5-7","Piers 5-7-2019","HH51",2
"565","White sucker","2021","Macassa Bay","Macassa Bay-2021","HH55",1
"566","White sucker","2022","Macassa Bay","Macassa Bay-2022","HH55",1
"567","White sucker","2023","Macassa Bay","Macassa Bay-2023","HH60",2
"568","White sucker","2023","Piers 5-7","Piers 5-7-2023","HH51",2
"569","Yellow perch","2018","Macassa Bay","Macassa Bay-2018","HH56",2
"570","Yellow perch","2018","Macassa Bay","Macassa Bay-2018","HH59",1
"571","Yellow perch","2018","Macassa Bay","Macassa Bay-2018","HH60",1
"572","Yellow perch","2018","Piers 5-7","Piers 5-7-2018","HH51",1
"573","Yellow perch","2019","Construction Site","Construction Site-2019","HH52",1
"574","Yellow perch","2019","Macassa Bay","Macassa Bay-2019","HH55",6
"575","Yellow perch","2019","Macassa Bay","Macassa Bay-2019","HH58",1
"576","Yellow perch","2019","Macassa Bay","Macassa Bay-2019","HH59",1
"577","Yellow perch","2019","Macassa Bay","Macassa Bay-2019","HH60",3
"578","Yellow perch","2019","Piers 5-7","Piers 5-7-2019","HH50",2
"579","Yellow perch","2019","Piers 5-7","Piers 5-7-2019","HH53",1
"580","Yellow perch","2020","Construction Site","Construction Site-2020","HH52",2
"581","Yellow perch","2020","Macassa Bay","Macassa Bay-2020","HH55",2
"582","Yellow perch","2020","Macassa Bay","Macassa Bay-2020","HH56",1
"583","Yellow perch","2020","Macassa Bay","Macassa Bay-2020","HH58",1
"584","Yellow perch","2020","Macassa Bay","Macassa Bay-2020","HH59",3
"585","Yellow perch","2020","Macassa Bay","Macassa Bay-2020","HH60",3
"586","Yellow perch","2020","Piers 5-7","Piers 5-7-2020","HH50",1
"587","Yellow perch","2020","Piers 5-7","Piers 5-7-2020","HH51",6
"588","Yellow perch","2021","Macassa Bay","Macassa Bay-2021","HH55",6
"589","Yellow perch","2021","Macassa Bay","Macassa Bay-2021","HH58",5
"590","Yellow perch","2021","Macassa Bay","Macassa Bay-2021","HH59",2
"591","Yellow perch","2021","Macassa Bay","Macassa Bay-2021","HH60",2
"592","Yellow perch","2021","Piers 5-7","Piers 5-7-2021","HH51",1
"593","Yellow perch","2022","Macassa Bay","Macassa Bay-2022","HH55",8
"594","Yellow perch","2022","Macassa Bay","Macassa Bay-2022","HH56",3
"595","Yellow perch","2022","Macassa Bay","Macassa Bay-2022","HH57",1
"596","Yellow perch","2022","Piers 5-7","Piers 5-7-2022","HH51",1
"597","Yellow perch","2023","Macassa Bay","Macassa Bay-2023","HH55",4
"598","Yellow perch","2023","Macassa Bay","Macassa Bay-2023","HH56",6
"599","Yellow perch","2023","Macassa Bay","Macassa Bay-2023","HH58",4
"600","Yellow perch","2023","Macassa Bay","Macassa Bay-2023","HH60",10
"601","Yellow perch","2023","Piers 5-7","Piers 5-7-2023","HH54",1
